Unnamed: 0,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name,name,id
0,Bernd,Leno,0,0,10,360,9,0.0,85.0,0.0,0,69,8.5,1,0,0,0.8,45,1,GK,50,ARS,Bernd Leno_1,1
1,Rúnar Alex,Rúnarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,1,GK,40,ARS,Rúnar Alex Rúnarsson_2,2
2,Willian,Borges Da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,63,3,MID,65,ARS,Willian Borges Da Silva_3,3
3,Pierre-Emerick,Aubameyang,4,1,44,1036,16,132.4,217.6,582.0,7,131,92.9,6,0,3,1.2,96,4,FWD,100,ARS,Pierre-Emerick Aubameyang_4,4
4,Cédric,Soares,1,1,48,1481,27,306.5,246.0,76.0,3,292,63.0,3,0,3,0.4,42,2,DEF,45,ARS,Cédric Soares_5,5
5,Alexandre,Lacazette,4,8,90,1773,17,385.7,376.6,724.0,3,295,148.3,10,0,0,3.1,81,4,FWD,85,ARS,Alexandre Lacazette_6,6
6,Granit,Xhaka,1,2,60,2327,38,489.6,382.2,253.0,3,334,112.6,6,1,10,0.4,48,3,MID,50,ARS,Granit Xhaka_7,7
7,Pablo,Marí,0,0,1,180,4,12.3,55.4,11.0,0,35,7.9,0,0,1,0.1,42,2,DEF,45,ARS,Pablo Marí_8,8
8,Héctor,Bellerín,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,48,2,DEF,50,ARS,Héctor Bellerín_9,9
9,Sead,Kolasinac,0,0,0,91,5,0.2,4.2,0.0,0,6,0.4,0,0,1,0.1,42,2,DEF,45,ARS,Sead Kolasinac_11,11
10,Mohamed Naser,El Sayed Elneny,0,2,27,801,17,124.5,147.8,40.0,0,156,31.3,0,0,1,0.4,44,3,MID,45,ARS,Mohamed Naser El Sayed Elneny_12,12
11,Ainsley,Maitland-Niles,0,0,12,263,4,41.3,42.6,9.0,0,44,9.3,2,0,0,0.0,52,3,MID,55,ARS,Ainsley Maitland-Niles_13,13
12,Rob,Holding,1,0,29,840,16,6.9,242.4,49.0,2,152,29.9,2,1,2,0.8,41,2,DEF,45,ARS,Rob Holding_14,14
13,Thomas,Partey,2,2,71,2027,25,275.5,359.6,394.0,4,345,103.0,10,0,6,0.2,50,3,MID,50,ARS,Thomas Partey_15,15
14,Kieran,Tierney,1,3,106,1916,21,335.9,365.2,198.0,11,454,90.1,11,0,0,4.7,49,2,DEF,50,ARS,Kieran Tierney_16,16
15,Nicolas,Pépé,1,4,45,681,9,204.8,127.4,391.0,1,127,72.0,2,0,0,0.7,69,3,MID,75,ARS,Nicolas Pépé_17,17
16,Lucas,Torreira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,3,MID,45,ARS,Lucas Torreira_18,18
17,Edward,Nketiah,5,1,55,823,18,138.8,216.0,339.0,6,194,69.2,0,0,3,11.5,57,4,FWD,55,ARS,Edward Nketiah_20,20
18,Emile,Smith Rowe,10,2,125,1909,28,453.3,555.8,576.0,9,435,158.4,8,0,1,10.0,57,3,MID,55,ARS,Emile Smith Rowe_21,21
19,Bukayo,Saka,11,9,179,2978,39,942.5,774.2,1404.0,18,566,311.8,13,0,6,28.8,67,3,MID,65,ARS,Bukayo Saka_22,22
20,Gabriel,Magalhães,5,0,146,3063,38,129.3,703.0,453.0,16,682,128.4,13,1,6,7.4,53,2,DEF,50,ARS,Gabriel Magalhães_23,23
21,Konstantinos,Mavropanos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,2,DEF,45,ARS,Konstantinos Mavropanos_24,24
22,Mattéo,Guendouzi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,ARS,Mattéo Guendouzi_25,25
23,Gabriel Teodoro,Martinelli Silva,6,7,110,1855,25,445.8,407.8,692.0,6,345,154.7,7,1,1,3.1,53,3,MID,55,ARS,Gabriel Teodoro Martinelli Silva_26,26
24,William,Saliba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,2,DEF,45,ARS,William Saliba_27,27
25,Ben,White,0,0,107,2880,35,182.3,592.8,150.0,9,557,92.5,13,0,3,12.4,46,2,DEF,45,ARS,Ben White_67,67
26,Nuno,Varela Tavares,1,1,49,1169,19,168.4,194.6,203.0,2,199,56.7,3,0,2,1.0,43,2,DEF,45,ARS,Nuno Varela Tavares_466,466
27,Albert,Sambi Lokonga,0,0,32,1129,11,250.7,181.8,87.0,0,173,51.9,7,0,5,0.1,48,3,MID,50,ARS,Albert Sambi Lokonga_478,478
28,Folarin,Balogun,0,0,2,69,1,3.7,4.2,17.0,0,2,1.9,0,0,0,0.2,47,4,FWD,50,ARS,Folarin Balogun_530,530
29,Reiss,Nelson,0,0,1,19,1,11.6,4.0,20.0,0,4,3.6,0,0,0,0.0,50,3,MID,50,ARS,Reiss Nelson_531,531
30,Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,1,GK,40,ARS,Karl Hein_532,532
31,Martin,Ødegaard,7,4,131,2782,39,1012.4,625.6,572.0,9,541,220.3,11,0,4,6.0,56,3,MID,55,ARS,Martin Ødegaard_558,558
32,Aaron,Ramsdale,0,0,135,3060,39,1.0,680.0,0.0,14,641,68.0,12,0,1,17.1,51,1,GK,45,ARS,Aaron Ramsdale_559,559
33,Arthur,Okonkwo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,39,1,GK,40,ARS,Arthur Okonkwo_572,572
34,Takehiro,Tomiyasu,0,1,75,1680,20,240.9,312.4,110.0,5,344,66.4,9,0,2,1.9,45,2,DEF,45,ARS,Takehiro Tomiyasu_590,590
35,Charlie,Patino,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,ARS,Charlie Patino_664,664
36,Omari,Hutchinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,ARS,Omari Hutchinson_692,692
